Year,Climate,Health,Intersection
1970,0,1,0
1971,0,1,0
1972,0,1,0
1973,0,1,0
1974,0,0,0
1975,0,1,0
1976,0,0,0
1977,0,1,0
1978,0,1,0
1979,0,0,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,1,0
1992,0,0,0
1993,0,0,0
1994,0,1,0
1995,0,2,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,1,1,0
2005,0,0,0
2006,1,3,2
2007,12,5,4
2008,3,1,0
2009,6,1,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,1,0
2014,1,2,1
2015,0,0,0
2016,7,5,2
2017,2,0,0
2018,2,2,0
2019,14,2,3
2020,7,12,6
2021,10,10,3
2022,13,15,8
