Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,1,0
1980,0,0,0
1981,0,0,0
1982,0,1,0
1983,0,0,0
1984,0,1,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,1,0
1990,0,3,0
1991,0,2,0
1992,0,3,0
1993,0,0,0
1994,0,2,0
1995,0,1,0
1996,0,1,0
1997,1,0,0
1998,0,0,0
1999,0,0,0
2000,0,1,0
2001,0,4,0
2002,0,10,0
2003,0,1,0
2004,0,1,0
2005,0,2,0
2006,0,1,0
2007,4,0,0
2008,4,1,2
2009,5,2,0
2010,4,5,1
2011,6,3,3
2012,2,6,0
2013,2,7,1
2014,2,5,0
2015,6,2,2
2016,2,0,0
2017,3,2,0
2018,4,3,0
2019,2,1,0
2020,5,4,2
2021,5,7,2
2022,9,3,4
