Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,1,0
1975,0,0,0
1976,0,1,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,1,0
1992,0,0,0
1993,0,0,0
1994,0,1,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,4,0
2000,0,2,0
2001,0,1,0
2002,0,8,0
2003,0,9,0
2004,0,9,0
2005,0,15,0
2006,0,6,0
2007,2,4,0
2008,4,5,3
2009,3,2,1
2010,4,2,1
2011,2,1,0
2012,0,4,0
2013,1,8,2
2014,3,2,0
2015,4,10,1
2016,6,8,0
2017,3,9,1
2018,0,7,0
2019,5,21,4
2020,0,8,0
2021,4,19,3
2022,1,12,0
