Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,8,5,0
2002,3,1,0
2003,8,3,0
2004,8,3,0
2005,11,4,0
2006,18,0,0
2007,21,0,0
2008,25,1,0
2009,16,6,2
2010,12,3,1
2011,8,3,4
2012,10,0,0
2013,19,3,1
2014,27,3,3
2015,9,4,2
2016,20,1,0
2017,27,3,6
2018,27,2,0
2019,30,2,3
2020,8,14,4
2021,20,3,1
2022,20,7,2
