Year,Climate,Health,Intersection
1970,0,1,0
1971,0,2,0
1972,0,3,0
1973,0,1,0
1974,0,1,0
1975,0,3,0
1976,0,2,0
1977,0,0,0
1978,3,3,0
1979,1,2,0
1980,0,1,0
1981,0,5,0
1982,0,1,0
1983,0,0,0
1984,0,1,0
1985,0,2,0
1986,0,1,0
1987,0,1,0
1988,0,3,0
1989,1,1,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,10,0
1994,0,2,0
1995,0,4,0
1996,1,2,0
1997,2,3,0
1998,0,0,0
1999,1,12,2
2000,1,2,0
2001,0,2,0
2002,0,1,0
2003,0,4,0
2004,0,3,0
2005,0,2,0
2006,0,0,0
2007,2,14,2
2008,0,7,0
2009,6,8,2
2010,1,1,0
2011,1,10,2
2012,0,0,0
2013,1,1,0
2014,2,5,0
2015,1,3,0
2016,3,6,0
2017,0,4,0
2018,0,0,0
2019,0,0,0
2020,2,3,0
2021,13,15,3
2022,9,8,3
