,WHO,Year,intersection,climate,health,sum
11,Europe,2011,578.0,9190.0,19348.0,29116.0
12,Europe,2012,607.0,10510.0,23973.0,35090.0
13,Europe,2013,667.0,10787.0,24148.0,35602.0
14,Europe,2014,660.0,11711.0,25872.0,38243.0
15,Europe,2015,655.0,10967.0,26112.0,37734.0
16,Europe,2016,805.0,12471.0,27812.0,41088.0
17,Europe,2017,964.0,12984.0,28712.0,42660.0
18,Europe,2018,940.0,13929.0,32508.0,47377.0
19,Europe,2019,1269.0,18149.0,37012.0,56430.0
20,Europe,2020,1697.0,22781.0,41419.0,65897.0
21,Europe,2021,4839.0,42188.0,97395.0,144422.0
22,Europe,2022,5310.0,59842.0,99485.0,164637.0
