,Sector,intersection,health,climate
0,Aerospace & Defense,1.58,43.0,19.96
1,Alternative Energy,2.93,32.52,32.57
2,Automobiles & Parts,1.89,38.31,28.78
3,Banks,2.57,50.68,47.88
4,Basic Resources,0.0,5.0,2.0
5,Beverages,1.8,33.4,25.72
6,Chemicals,3.62,52.34,22.04
7,Construction & Materials,1.44,31.54,20.87
8,Diversified,1.29,22.24,13.05
9,Electricity,3.14,40.57,56.14
10,Electronic & Electrical Equ...,0.73,17.57,10.82
11,Equity Investment Instruments,2.94,24.39,26.61
12,Financial Services,2.09,29.69,25.18
13,Fixed Line Telecommunications,1.27,31.81,15.54
14,Food & Drug Retailers,2.05,48.2,24.9
15,Food Producers,2.38,35.27,15.34
16,Forestry & Paper,2.84,41.68,30.32
17,"Gas, Water & Multiutilities",3.02,58.68,40.78
18,General Industrials,1.17,22.54,13.12
19,General Retailers,0.97,25.35,12.96
20,Health Care Equipment & Ser...,2.27,66.87,11.58
21,Household Goods & Home Cons...,0.76,21.03,13.38
22,Industrial Engineering,1.29,23.67,13.97
23,Industrial Goods & Services,0.5,8.25,3.5
24,Industrial Metals & Mining,2.11,42.2,26.91
25,Industrial Transportation,1.29,25.21,15.45
26,Leisure Goods,0.95,15.05,9.82
27,Life Insurance,3.69,72.5,49.38
28,Media,0.49,18.05,8.13
29,Mining,1.8,43.4,20.7
30,Mobile Telecommunications,1.5,38.5,35.0
31,Nonequity Investment Instru...,0.0,4.8,11.2
32,Nonlife Insurance,4.39,58.71,35.39
33,Oil & Gas Producers,3.27,40.38,35.73
34,"Oil Equipment, Services & D...",2.0,19.54,21.18
35,Other,0.0,6.0,2.5
36,Personal Goods,0.97,26.1,14.0
37,Pharmaceuticals & Biotechno...,3.24,79.63,12.97
38,Real Estate Investment & Se...,1.66,38.86,22.49
39,Real Estate Investment Trusts,7.0,59.29,51.29
40,Retail,0.0,4.75,0.75
41,Software & Computer Services,0.54,12.83,7.74
42,Support Services,0.72,14.88,7.72
43,Technology,0.0,19.0,2.0
44,Technology Hardware & Equip...,0.81,19.74,12.86
45,Travel & Leisure,1.51,34.62,17.79
