,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.68,0.84,0.2,2022
1,Alternative Energy,0.85,0.88,0.42,2022
2,Automobiles & Parts,0.6,0.89,0.27,2022
3,Banks,0.85,0.9,0.34,2022
4,Basic Resources,0.33,0.67,0.0,2022
5,Beverages,0.77,0.88,0.31,2022
6,Chemicals,0.72,0.9,0.33,2022
7,Construction & Materials,0.63,0.85,0.22,2022
8,Diversified,0.74,0.88,0.29,2022
9,Electricity,0.83,0.87,0.31,2022
10,Electronic & Electrical Equ...,0.51,0.78,0.14,2022
11,Equity Investment Instruments,0.77,0.82,0.33,2022
12,Financial Services,0.73,0.77,0.23,2022
13,Fixed Line Telecommunications,0.7,0.79,0.28,2022
14,Food & Drug Retailers,0.72,0.87,0.29,2022
15,Food Producers,0.66,0.87,0.26,2022
16,Forestry & Paper,0.66,0.82,0.26,2022
17,"Gas, Water & Multiutilities",0.77,0.88,0.34,2022
18,General Industrials,0.62,0.83,0.19,2022
19,General Retailers,0.58,0.77,0.17,2022
20,Health Care,0.5,1.0,0.0,2022
21,Health Care Equipment & Ser...,0.56,0.94,0.2,2022
22,Household Goods & Home Cons...,0.63,0.87,0.21,2022
23,Industrial Engineering,0.56,0.84,0.19,2022
24,Industrial Goods & Services,0.46,0.8,0.04,2022
25,Industrial Metals & Mining,0.65,0.86,0.24,2022
26,Industrial Transportation,0.7,0.86,0.24,2022
27,Leisure Goods,0.59,0.79,0.14,2022
28,Life Insurance,0.75,0.81,0.32,2022
29,Media,0.48,0.7,0.07,2022
30,Mining,0.51,0.75,0.28,2022
31,Mobile Telecommunications,0.85,0.92,0.38,2022
32,Nonequity Investment Instru...,0.83,0.83,0.26,2022
33,Nonlife Insurance,0.82,0.89,0.35,2022
34,Not Applicable,0.49,0.77,0.1,2022
35,Oil & Gas Producers,0.7,0.88,0.35,2022
36,"Oil Equipment, Services & D...",0.8,0.86,0.37,2022
37,Other,0.75,0.94,0.0,2022
38,Personal Goods,0.62,0.84,0.17,2022
39,Pharmaceuticals & Biotechno...,0.69,0.93,0.35,2022
40,Real Estate Investment & Se...,0.74,0.83,0.29,2022
41,Real Estate Investment Trusts,0.85,0.9,0.54,2022
42,Retail,0.4,0.95,0.05,2022
43,Software & Computer Services,0.5,0.79,0.09,2022
44,Support Services,0.53,0.81,0.12,2022
45,Technology,1.0,1.0,0.0,2022
46,Technology Hardware & Equip...,0.62,0.85,0.19,2022
47,Tobacco,1.0,1.0,0.5,2022
48,Travel & Leisure,0.74,0.89,0.28,2022
