,Year,LC_grouping,Climate,Health,Intersection
0,2011,Asia,0.6,0.81,0.15
2,2012,Asia,0.66,0.8,0.16
4,2013,Asia,0.74,0.95,0.16
6,2014,Asia,0.7,0.91,0.23
8,2015,Asia,0.62,0.81,0.22
10,2016,Asia,0.74,1.0,0.43
12,2017,Asia,0.73,0.96,0.35
14,2018,Asia,0.74,0.96,0.47
16,2019,Asia,0.75,0.95,0.44
18,2020,Asia,0.74,0.94,0.5
20,2021,Asia,0.86,0.95,0.62
22,2022,Asia,0.79,0.95,0.56
1,2011,Europe,0.62,0.81,0.16
3,2012,Europe,0.55,0.78,0.12
5,2013,Europe,0.54,0.77,0.11
7,2014,Europe,0.54,0.79,0.12
9,2015,Europe,0.56,0.8,0.13
11,2016,Europe,0.56,0.8,0.13
13,2017,Europe,0.56,0.81,0.14
15,2018,Europe,0.59,0.83,0.16
17,2019,Europe,0.62,0.85,0.17
19,2020,Europe,0.7,0.87,0.26
21,2021,Europe,0.72,0.89,0.33
23,2022,Europe,0.76,0.88,0.36
