,Year,LC_grouping,Climate,Health,Intersection
0,2011,Asia,1.0,1.0,0.0
2,2012,Asia,0.0,1.0,0.0
5,2014,Asia,0.0,1.0,0.0
13,2021,Asia,0.0,1.0,0.0
15,2022,Asia,1.0,1.0,0.0
1,2011,Europe,0.31,0.92,0.0
3,2012,Europe,0.36,0.93,0.04
4,2013,Europe,0.27,0.95,0.0
6,2014,Europe,0.39,0.92,0.06
7,2015,Europe,0.53,0.97,0.11
8,2016,Europe,0.38,0.91,0.04
9,2017,Europe,0.51,0.96,0.1
10,2018,Europe,0.61,0.98,0.22
11,2019,Europe,0.62,0.95,0.26
12,2020,Europe,0.64,0.87,0.34
14,2021,Europe,0.83,0.97,0.38
16,2022,Europe,0.78,0.93,0.42
