,WHO,Year,intersection,climate,health,sum
11,Africa,2011,59.0,411.0,815.0,1285.0
12,Africa,2012,17.0,225.0,962.0,1204.0
13,Africa,2013,36.0,403.0,1465.0,1904.0
14,Africa,2014,73.0,523.0,1537.0,2133.0
15,Africa,2015,49.0,640.0,1904.0,2593.0
16,Africa,2016,40.0,658.0,1992.0,2690.0
17,Africa,2017,54.0,468.0,1423.0,1945.0
18,Africa,2018,25.0,377.0,1234.0,1636.0
19,Africa,2019,57.0,519.0,1570.0,2146.0
20,Africa,2020,40.0,450.0,929.0,1419.0
21,Africa,2021,172.0,1223.0,3209.0,4604.0
22,Africa,2022,144.0,1240.0,2692.0,4076.0
23,Americas,2011,183.0,2215.0,4800.0,7198.0
24,Americas,2012,165.0,2993.0,5714.0,8872.0
25,Americas,2013,220.0,2386.0,6119.0,8725.0
26,Americas,2014,202.0,2525.0,7731.0,10458.0
27,Americas,2015,271.0,2833.0,9083.0,12187.0
28,Americas,2016,317.0,3223.0,8679.0,12219.0
29,Americas,2017,350.0,3736.0,8928.0,13014.0
30,Americas,2018,350.0,3617.0,8879.0,12846.0
31,Americas,2019,373.0,4532.0,8903.0,13808.0
32,Americas,2020,540.0,5549.0,10537.0,16626.0
33,Americas,2021,1691.0,11183.0,27687.0,40561.0
34,Americas,2022,1887.0,16394.0,24683.0,42964.0
35,Eastern Mediterranean,2011,17.0,114.0,477.0,608.0
36,Eastern Mediterranean,2012,18.0,216.0,949.0,1183.0
37,Eastern Mediterranean,2013,31.0,189.0,1137.0,1357.0
38,Eastern Mediterranean,2014,13.0,171.0,721.0,905.0
39,Eastern Mediterranean,2015,11.0,253.0,1084.0,1348.0
40,Eastern Mediterranean,2016,25.0,335.0,1074.0,1434.0
41,Eastern Mediterranean,2017,27.0,316.0,1052.0,1395.0
42,Eastern Mediterranean,2018,39.0,741.0,1670.0,2450.0
43,Eastern Mediterranean,2019,37.0,658.0,1680.0,2375.0
44,Eastern Mediterranean,2020,49.0,422.0,1458.0,1929.0
45,Eastern Mediterranean,2021,113.0,742.0,3104.0,3959.0
46,Eastern Mediterranean,2022,200.0,1436.0,3459.0,5095.0
47,Europe,2011,474.0,7388.0,12860.0,20722.0
48,Europe,2012,498.0,8009.0,16720.0,25227.0
49,Europe,2013,539.0,8257.0,16512.0,25308.0
50,Europe,2014,570.0,9495.0,19309.0,29374.0
51,Europe,2015,506.0,8604.0,17243.0,26353.0
52,Europe,2016,697.0,9871.0,19221.0,29789.0
53,Europe,2017,788.0,10156.0,19732.0,30676.0
54,Europe,2018,744.0,10822.0,21301.0,32867.0
55,Europe,2019,1047.0,14179.0,25255.0,40481.0
56,Europe,2020,1404.0,18592.0,29112.0,49108.0
57,Europe,2021,3809.0,34426.0,68291.0,106526.0
58,Europe,2022,4024.0,47707.0,68374.0,120105.0
59,South-East Asia,2011,49.0,795.0,1553.0,2397.0
60,South-East Asia,2012,53.0,841.0,1807.0,2701.0
61,South-East Asia,2013,73.0,1115.0,2428.0,3616.0
62,South-East Asia,2014,55.0,914.0,2322.0,3291.0
63,South-East Asia,2015,101.0,1117.0,3149.0,4367.0
64,South-East Asia,2016,111.0,1352.0,2739.0,4202.0
65,South-East Asia,2017,105.0,910.0,2902.0,3917.0
66,South-East Asia,2018,108.0,1031.0,2741.0,3880.0
67,South-East Asia,2019,126.0,1217.0,2999.0,4342.0
68,South-East Asia,2020,154.0,1100.0,2541.0,3795.0
69,South-East Asia,2021,330.0,2396.0,6090.0,8816.0
70,South-East Asia,2022,291.0,2706.0,5309.0,8306.0
71,Western Pacific,2011,180.0,4382.0,5353.0,9915.0
72,Western Pacific,2012,160.0,5075.0,5744.0,10979.0
73,Western Pacific,2013,264.0,4314.0,6408.0,10986.0
74,Western Pacific,2014,253.0,4662.0,7429.0,12344.0
75,Western Pacific,2015,207.0,4375.0,7251.0,11833.0
76,Western Pacific,2016,257.0,4121.0,7106.0,11484.0
77,Western Pacific,2017,329.0,5353.0,8519.0,14201.0
78,Western Pacific,2018,362.0,5850.0,10504.0,16716.0
79,Western Pacific,2019,551.0,8206.0,11531.0,20288.0
80,Western Pacific,2020,891.0,10240.0,16448.0,27579.0
81,Western Pacific,2021,1732.0,19866.0,29711.0,51309.0
82,Western Pacific,2022,2517.0,29761.0,35913.0,68191.0
