,HDI Level (2021),Year,intersection,climate,health,sum
0,0,2011,52.0,1912.0,1238.0,3202.0
1,0,2012,80.0,2409.0,1752.0,4241.0
2,0,2013,157.0,1674.0,1837.0,3668.0
3,0,2014,156.0,1780.0,1978.0,3914.0
4,0,2015,84.0,1674.0,1960.0,3718.0
5,0,2016,83.0,1245.0,1534.0,2862.0
6,0,2017,95.0,1628.0,1995.0,3718.0
7,0,2018,44.0,1027.0,1362.0,2433.0
8,0,2019,143.0,1121.0,1303.0,2567.0
9,0,2020,103.0,1265.0,1432.0,2800.0
10,0,2021,334.0,3482.0,3671.0,7487.0
11,0,2022,313.0,5914.0,4833.0,11060.0
12,High,2011,129.0,1421.0,3015.0,4565.0
13,High,2012,94.0,1611.0,3637.0,5342.0
14,High,2013,116.0,1696.0,4003.0,5815.0
15,High,2014,134.0,1797.0,4426.0,6357.0
16,High,2015,91.0,1751.0,5078.0,6920.0
17,High,2016,106.0,1991.0,4491.0,6588.0
18,High,2017,145.0,2101.0,4581.0,6827.0
19,High,2018,143.0,2335.0,4998.0,7476.0
20,High,2019,179.0,2286.0,5916.0,8381.0
21,High,2020,236.0,2511.0,5764.0,8511.0
22,High,2021,644.0,5247.0,14320.0,20211.0
23,High,2022,1096.0,8336.0,15681.0,25113.0
24,Low,2011,6.0,33.0,249.0,288.0
25,Low,2012,7.0,81.0,423.0,511.0
26,Low,2013,11.0,32.0,329.0,372.0
27,Low,2014,5.0,34.0,291.0,330.0
28,Low,2015,9.0,52.0,349.0,410.0
29,Low,2016,13.0,78.0,360.0,451.0
30,Low,2017,20.0,77.0,337.0,434.0
31,Low,2018,18.0,147.0,761.0,926.0
32,Low,2019,24.0,183.0,714.0,921.0
33,Low,2020,21.0,94.0,371.0,486.0
34,Low,2021,22.0,199.0,1010.0,1231.0
35,Low,2022,56.0,427.0,1341.0,1824.0
36,Medium,2011,60.0,665.0,1238.0,1963.0
37,Medium,2012,45.0,742.0,1794.0,2581.0
38,Medium,2013,50.0,627.0,1749.0,2426.0
39,Medium,2014,68.0,580.0,1772.0,2420.0
40,Medium,2015,89.0,751.0,2274.0,3114.0
41,Medium,2016,92.0,882.0,2454.0,3428.0
42,Medium,2017,64.0,600.0,2157.0,2821.0
43,Medium,2018,97.0,718.0,2340.0,3155.0
44,Medium,2019,76.0,931.0,2410.0,3417.0
45,Medium,2020,107.0,769.0,1868.0,2744.0
46,Medium,2021,273.0,1631.0,5390.0,7294.0
47,Medium,2022,230.0,1840.0,4230.0,6300.0
48,Very High,2011,715.0,11277.0,20131.0,32123.0
49,Very High,2012,685.0,12518.0,24315.0,37518.0
50,Very High,2013,835.0,12647.0,26157.0,39639.0
51,Very High,2014,803.0,14099.0,30582.0,45484.0
52,Very High,2015,873.0,13610.0,30070.0,44553.0
53,Very High,2016,1153.0,15366.0,31972.0,48491.0
54,Very High,2017,1329.0,16545.0,33496.0,51370.0
55,Very High,2018,1327.0,18214.0,36874.0,56415.0
56,Very High,2019,1769.0,24805.0,41610.0,68184.0
57,Very High,2020,2611.0,31734.0,51602.0,85947.0
58,Very High,2021,6579.0,59355.0,113840.0,179774.0
59,Very High,2022,7372.0,82850.0,114488.0,204710.0
