,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011,69.0,474.0,1006.0,1549.0
1,1,Africa,2012,23.0,269.0,1157.0,1449.0
2,2,Africa,2013,40.0,448.0,1679.0,2167.0
3,3,Africa,2014,73.0,538.0,1622.0,2233.0
4,4,Africa,2015,53.0,689.0,2153.0,2895.0
5,5,Africa,2016,45.0,710.0,2244.0,2999.0
6,6,Africa,2017,52.0,484.0,1576.0,2112.0
7,7,Africa,2018,33.0,496.0,1658.0,2187.0
8,8,Africa,2019,64.0,605.0,1913.0,2582.0
9,9,Africa,2020,56.0,539.0,1304.0,1899.0
10,10,Africa,2021,155.0,1207.0,3067.0,4429.0
11,11,Africa,2022,138.0,1301.0,3058.0,4497.0
12,12,Asia,2011,205.0,5040.0,7133.0,12378.0
13,13,Asia,2012,223.0,5918.0,8610.0,14751.0
14,14,Asia,2013,353.0,5613.0,9762.0,15728.0
15,15,Asia,2014,342.0,6089.0,11126.0,17557.0
16,16,Asia,2015,322.0,5826.0,11695.0,17843.0
17,17,Asia,2016,387.0,5982.0,11601.0,17970.0
18,18,Asia,2017,443.0,6244.0,12465.0,19152.0
19,19,Asia,2018,418.0,7193.0,14409.0,22020.0
20,20,Asia,2019,644.0,8896.0,14923.0,24463.0
21,21,Asia,2020,926.0,10625.0,18608.0,30159.0
22,22,Asia,2021,2047.0,21517.0,35988.0,59552.0
23,23,Asia,2022,2702.0,31093.0,40440.0,74235.0
24,24,Europe,2011,462.0,6953.0,12026.0,19441.0
25,25,Europe,2012,475.0,7416.0,15622.0,23513.0
26,26,Europe,2013,511.0,7633.0,15580.0,23724.0
27,27,Europe,2014,529.0,8711.0,17907.0,27147.0
28,28,Europe,2015,463.0,7960.0,15858.0,24281.0
29,29,Europe,2016,638.0,8979.0,17232.0,26849.0
30,30,Europe,2017,738.0,9382.0,18269.0,28389.0
31,31,Europe,2018,686.0,9813.0,19726.0,30225.0
32,32,Europe,2019,955.0,13079.0,23696.0,37730.0
33,33,Europe,2020,1288.0,17400.0,27296.0,45984.0
34,34,Europe,2021,3457.0,31918.0,64134.0,99509.0
35,35,Europe,2022,3735.0,45014.0,64475.0,113224.0
36,36,Northern America,2011,143.0,1671.0,3530.0,5344.0
37,37,Northern America,2012,112.0,1757.0,3518.0,5387.0
38,38,Northern America,2013,132.0,1521.0,4148.0,5801.0
39,39,Northern America,2014,118.0,1735.0,5878.0,7731.0
40,40,Northern America,2015,245.0,2110.0,7288.0,9643.0
41,41,Northern America,2016,277.0,2274.0,6932.0,9483.0
42,42,Northern America,2017,284.0,2495.0,6861.0,9640.0
43,43,Northern America,2018,256.0,2484.0,6214.0,8954.0
44,44,Northern America,2019,300.0,3494.0,6009.0,9803.0
45,45,Northern America,2020,395.0,3896.0,6974.0,11265.0
46,46,Northern America,2021,1164.0,7266.0,15978.0,24408.0
47,47,Northern America,2022,1342.0,11278.0,15024.0,27644.0
48,48,Oceania,2011,25.0,409.0,499.0,933.0
49,49,Oceania,2012,10.0,457.0,401.0,868.0
50,50,Oceania,2013,30.0,331.0,383.0,744.0
51,51,Oceania,2014,10.0,216.0,325.0,551.0
52,52,Oceania,2015,20.0,277.0,490.0,787.0
53,53,Oceania,2016,30.0,465.0,777.0,1272.0
54,54,Oceania,2017,52.0,872.0,841.0,1765.0
55,55,Oceania,2018,90.0,965.0,953.0,2008.0
56,56,Oceania,2019,93.0,1607.0,1498.0,3198.0
57,57,Oceania,2020,164.0,1508.0,2059.0,3731.0
58,58,Oceania,2021,220.0,2505.0,3039.0,5764.0
59,59,Oceania,2022,232.0,2918.0,2906.0,6056.0
60,60,SIDS,2011,18.0,232.0,468.0,718.0
61,61,SIDS,2012,15.0,330.0,463.0,808.0
62,62,SIDS,2013,44.0,358.0,856.0,1258.0
63,63,SIDS,2014,27.0,268.0,453.0,748.0
64,64,SIDS,2015,26.0,293.0,580.0,899.0
65,65,SIDS,2016,31.0,214.0,326.0,571.0
66,66,SIDS,2017,27.0,304.0,553.0,884.0
67,67,SIDS,2018,53.0,399.0,752.0,1204.0
68,68,SIDS,2019,63.0,623.0,1059.0,1745.0
69,69,SIDS,2020,104.0,768.0,1265.0,2137.0
70,70,SIDS,2021,286.0,1662.0,4497.0,6445.0
71,71,SIDS,2022,373.0,2725.0,5138.0,8236.0
72,72,South and Central America,2011,40.0,529.0,1209.0,1778.0
73,73,South and Central America,2012,53.0,1214.0,2150.0,3417.0
74,74,South and Central America,2013,59.0,772.0,1667.0,2498.0
75,75,South and Central America,2014,67.0,733.0,1738.0,2538.0
76,76,South and Central America,2015,17.0,683.0,1667.0,2367.0
77,77,South and Central America,2016,39.0,938.0,1699.0,2676.0
78,78,South and Central America,2017,57.0,1170.0,2001.0,3228.0
79,79,South and Central America,2018,93.0,1091.0,2623.0,3807.0
80,80,South and Central America,2019,72.0,1022.0,2855.0,3949.0
81,81,South and Central America,2020,145.0,1637.0,3531.0,5313.0
82,82,South and Central America,2021,523.0,3839.0,11528.0,15890.0
83,83,South and Central America,2022,545.0,5038.0,9532.0,15115.0
