,Year,WHO,Climate,Health,Intersection
1,2011,Africa,0.67,0.9,0.21
8,2012,Africa,0.49,0.87,0.13
15,2013,Africa,0.42,0.85,0.13
21,2014,Africa,0.48,0.82,0.13
28,2015,Africa,0.47,0.91,0.14
35,2016,Africa,0.54,0.89,0.17
42,2017,Africa,0.48,0.83,0.16
49,2018,Africa,0.51,0.85,0.14
56,2019,Africa,0.54,0.87,0.17
63,2020,Africa,0.59,0.86,0.23
70,2021,Africa,0.59,0.86,0.31
77,2022,Africa,0.67,0.88,0.36
2,2011,Americas,0.6,0.86,0.18
9,2012,Americas,0.59,0.85,0.15
16,2013,Americas,0.56,0.85,0.15
22,2014,Americas,0.57,0.83,0.14
29,2015,Americas,0.57,0.87,0.14
36,2016,Americas,0.52,0.83,0.15
43,2017,Americas,0.57,0.84,0.17
50,2018,Americas,0.56,0.83,0.18
57,2019,Americas,0.6,0.84,0.2
64,2020,Americas,0.68,0.87,0.28
71,2021,Americas,0.69,0.88,0.38
78,2022,Americas,0.69,0.86,0.36
3,2011,Eastern Mediterranean,0.46,0.84,0.16
10,2012,Eastern Mediterranean,0.52,0.75,0.23
17,2013,Eastern Mediterranean,0.37,0.8,0.1
23,2014,Eastern Mediterranean,0.42,0.71,0.06
30,2015,Eastern Mediterranean,0.5,0.8,0.09
37,2016,Eastern Mediterranean,0.49,0.8,0.12
44,2017,Eastern Mediterranean,0.5,0.84,0.08
51,2018,Eastern Mediterranean,0.5,0.81,0.15
58,2019,Eastern Mediterranean,0.55,0.86,0.16
65,2020,Eastern Mediterranean,0.57,0.83,0.21
72,2021,Eastern Mediterranean,0.59,0.93,0.25
79,2022,Eastern Mediterranean,0.73,0.93,0.3
4,2011,Europe,0.61,0.81,0.16
11,2012,Europe,0.55,0.78,0.12
18,2013,Europe,0.55,0.78,0.12
24,2014,Europe,0.54,0.8,0.12
31,2015,Europe,0.56,0.8,0.13
38,2016,Europe,0.57,0.81,0.14
45,2017,Europe,0.57,0.81,0.15
52,2018,Europe,0.59,0.83,0.17
59,2019,Europe,0.62,0.85,0.18
66,2020,Europe,0.7,0.87,0.27
73,2021,Europe,0.72,0.89,0.34
80,2022,Europe,0.76,0.88,0.36
5,2011,South-East Asia,0.63,0.77,0.22
12,2012,South-East Asia,0.58,0.79,0.19
19,2013,South-East Asia,0.63,0.83,0.22
25,2014,South-East Asia,0.55,0.83,0.16
32,2015,South-East Asia,0.58,0.79,0.21
39,2016,South-East Asia,0.57,0.79,0.21
46,2017,South-East Asia,0.57,0.86,0.22
53,2018,South-East Asia,0.55,0.84,0.2
60,2019,South-East Asia,0.6,0.87,0.27
67,2020,South-East Asia,0.59,0.86,0.24
74,2021,South-East Asia,0.64,0.86,0.36
81,2022,South-East Asia,0.71,0.88,0.39
6,2011,Western Pacific,0.76,0.8,0.29
13,2012,Western Pacific,0.7,0.81,0.23
20,2013,Western Pacific,0.71,0.81,0.26
26,2014,Western Pacific,0.73,0.84,0.29
33,2015,Western Pacific,0.7,0.82,0.29
40,2016,Western Pacific,0.7,0.79,0.26
47,2017,Western Pacific,0.76,0.84,0.34
54,2018,Western Pacific,0.75,0.83,0.36
61,2019,Western Pacific,0.75,0.84,0.36
68,2020,Western Pacific,0.82,0.89,0.51
75,2021,Western Pacific,0.78,0.85,0.51
82,2022,Western Pacific,0.83,0.87,0.57
