,Year,LC_grouping,Climate,Health,Intersection
1,2011,Africa,0.61,0.89,0.23
9,2012,Africa,0.47,0.88,0.17
17,2013,Africa,0.38,0.83,0.12
24,2014,Africa,0.48,0.83,0.1
31,2015,Africa,0.49,0.88,0.13
38,2016,Africa,0.53,0.87,0.17
45,2017,Africa,0.51,0.85,0.12
52,2018,Africa,0.5,0.83,0.13
59,2019,Africa,0.56,0.88,0.19
66,2020,Africa,0.57,0.87,0.23
73,2021,Africa,0.58,0.88,0.25
80,2022,Africa,0.69,0.9,0.33
2,2011,Asia,0.68,0.8,0.24
10,2012,Asia,0.66,0.79,0.22
18,2013,Asia,0.67,0.83,0.22
25,2014,Asia,0.66,0.82,0.23
32,2015,Asia,0.64,0.81,0.23
39,2016,Asia,0.64,0.82,0.23
46,2017,Asia,0.66,0.85,0.27
53,2018,Asia,0.65,0.83,0.29
60,2019,Asia,0.66,0.85,0.3
67,2020,Asia,0.72,0.88,0.39
74,2021,Asia,0.72,0.86,0.45
81,2022,Asia,0.78,0.88,0.5
3,2011,Europe,0.62,0.81,0.16
11,2012,Europe,0.54,0.78,0.11
19,2013,Europe,0.54,0.77,0.11
26,2014,Europe,0.54,0.79,0.12
33,2015,Europe,0.56,0.8,0.13
40,2016,Europe,0.56,0.8,0.13
47,2017,Europe,0.56,0.81,0.14
54,2018,Europe,0.59,0.83,0.16
61,2019,Europe,0.62,0.85,0.17
68,2020,Europe,0.7,0.87,0.26
75,2021,Europe,0.72,0.89,0.34
82,2022,Europe,0.76,0.88,0.36
4,2011,Northern America,0.76,0.83,0.28
12,2012,Northern America,0.67,0.81,0.24
20,2013,Northern America,0.63,0.78,0.24
27,2014,Northern America,0.62,0.8,0.18
34,2015,Northern America,0.64,0.82,0.25
41,2016,Northern America,0.66,0.84,0.25
48,2017,Northern America,0.79,0.86,0.34
55,2018,Northern America,0.72,0.83,0.33
62,2019,Northern America,0.74,0.84,0.32
69,2020,Northern America,0.86,0.9,0.46
76,2021,Northern America,0.88,0.91,0.6
83,2022,Northern America,0.85,0.89,0.6
5,2011,Oceania,0.77,0.81,0.23
13,2012,Oceania,0.7,0.85,0.09
21,2013,Oceania,0.6,0.8,0.2
28,2014,Oceania,0.58,0.87,0.13
35,2015,Oceania,0.52,0.82,0.15
42,2016,Oceania,0.63,0.84,0.24
49,2017,Oceania,0.74,0.85,0.28
56,2018,Oceania,0.75,0.87,0.32
63,2019,Oceania,0.79,0.89,0.35
70,2020,Oceania,0.83,0.89,0.54
77,2021,Oceania,0.8,0.86,0.5
84,2022,Oceania,0.85,0.87,0.5
6,2011,SIDS,0.43,0.77,0.13
14,2012,SIDS,0.49,0.73,0.16
22,2013,SIDS,0.61,0.78,0.27
29,2014,SIDS,0.62,0.85,0.21
36,2015,SIDS,0.61,0.83,0.2
43,2016,SIDS,0.57,0.8,0.2
50,2017,SIDS,0.73,0.86,0.38
57,2018,SIDS,0.75,0.92,0.36
64,2019,SIDS,0.75,0.93,0.38
71,2020,SIDS,0.77,0.88,0.46
78,2021,SIDS,0.85,0.9,0.6
85,2022,SIDS,0.82,0.89,0.53
7,2011,South and Central America,0.57,0.88,0.16
15,2012,South and Central America,0.58,0.87,0.13
23,2013,South and Central America,0.55,0.86,0.12
30,2014,South and Central America,0.55,0.84,0.13
37,2015,South and Central America,0.55,0.87,0.11
44,2016,South and Central America,0.49,0.82,0.13
51,2017,South and Central America,0.52,0.84,0.13
58,2018,South and Central America,0.52,0.83,0.14
65,2019,South and Central America,0.56,0.84,0.16
72,2020,South and Central America,0.62,0.87,0.23
79,2021,South and Central America,0.64,0.87,0.31
86,2022,South and Central America,0.64,0.85,0.29
