,index,LC_grouping,Year,intersection,climate,health,sum
3,3,Africa,2011,70.0,498.0,1069.0,1637.0
4,4,Africa,2012,31.0,275.0,1429.0,1735.0
5,5,Africa,2013,42.0,451.0,1725.0,2218.0
6,6,Africa,2014,73.0,551.0,1690.0,2314.0
7,7,Africa,2015,54.0,706.0,2364.0,3124.0
8,8,Africa,2016,47.0,722.0,2449.0,3218.0
9,9,Africa,2017,52.0,515.0,1707.0,2274.0
10,10,Africa,2018,34.0,509.0,1748.0,2291.0
11,11,Africa,2019,67.0,659.0,2061.0,2787.0
12,12,Africa,2020,56.0,598.0,1456.0,2110.0
13,13,Africa,2021,164.0,1266.0,3336.0,4766.0
14,14,Africa,2022,149.0,1448.0,3564.0,5161.0
15,15,Asia,2011,241.0,5885.0,9097.0,15223.0
16,16,Asia,2012,258.0,6825.0,11245.0,18328.0
17,17,Asia,2013,402.0,6698.0,13140.0,20240.0
18,18,Asia,2014,373.0,6699.0,13641.0,20713.0
19,19,Asia,2015,354.0,6246.0,13652.0,20252.0
20,20,Asia,2016,452.0,6697.0,13739.0,20888.0
21,21,Asia,2017,530.0,7391.0,15583.0,23504.0
22,22,Asia,2018,470.0,7819.0,16897.0,25186.0
23,23,Asia,2019,687.0,9685.0,18534.0,28906.0
24,24,Asia,2020,1054.0,12058.0,22560.0,35672.0
25,25,Asia,2021,2471.0,24256.0,43185.0,69912.0
26,26,Asia,2022,3158.0,35547.0,50118.0,88823.0
27,27,Europe,2011,579.0,8839.0,18773.0,28191.0
28,28,Europe,2012,592.0,10077.0,23227.0,33896.0
29,29,Europe,2013,658.0,10300.0,23766.0,34724.0
30,30,Europe,2014,623.0,11054.0,25359.0,37036.0
31,31,Europe,2015,616.0,10522.0,25457.0,36595.0
32,32,Europe,2016,754.0,11749.0,26787.0,39290.0
33,33,Europe,2017,930.0,12566.0,28385.0,41881.0
34,34,Europe,2018,878.0,13201.0,31670.0,45749.0
35,35,Europe,2019,1205.0,17448.0,36416.0,55069.0
36,36,Europe,2020,1611.0,22037.0,40446.0,64094.0
37,37,Europe,2021,4569.0,41437.0,95803.0,141809.0
38,38,Europe,2022,5004.0,57801.0,96397.0,159202.0
39,39,Northern America,2011,145.0,1697.0,3549.0,5391.0
40,40,Northern America,2012,112.0,1759.0,3519.0,5390.0
41,41,Northern America,2013,132.0,1543.0,4170.0,5845.0
42,42,Northern America,2014,118.0,1745.0,5896.0,7759.0
43,43,Northern America,2015,245.0,2113.0,7300.0,9658.0
44,44,Northern America,2016,277.0,2284.0,7004.0,9565.0
45,45,Northern America,2017,284.0,2519.0,6938.0,9741.0
46,46,Northern America,2018,257.0,2491.0,6248.0,8996.0
47,47,Northern America,2019,300.0,3501.0,6015.0,9816.0
48,48,Northern America,2020,397.0,3914.0,7003.0,11314.0
49,49,Northern America,2021,1173.0,7290.0,16033.0,24496.0
50,50,Northern America,2022,1353.0,11297.0,15071.0,27721.0
51,51,Oceania,2011,25.0,409.0,499.0,933.0
52,52,Oceania,2012,10.0,457.0,401.0,868.0
53,53,Oceania,2013,30.0,331.0,383.0,744.0
54,54,Oceania,2014,10.0,216.0,325.0,551.0
55,55,Oceania,2015,20.0,277.0,490.0,787.0
56,56,Oceania,2016,30.0,465.0,777.0,1272.0
57,57,Oceania,2017,52.0,872.0,841.0,1765.0
58,58,Oceania,2018,90.0,965.0,953.0,2008.0
59,59,Oceania,2019,93.0,1607.0,1498.0,3198.0
60,60,Oceania,2020,164.0,1508.0,2059.0,3731.0
61,61,Oceania,2021,220.0,2505.0,3039.0,5764.0
62,62,Oceania,2022,232.0,2918.0,2906.0,6056.0
63,63,SIDS,2011,18.0,242.0,578.0,838.0
64,64,SIDS,2012,24.0,386.0,731.0,1141.0
65,65,SIDS,2013,57.0,474.0,1204.0,1735.0
66,66,SIDS,2014,28.0,314.0,795.0,1137.0
67,67,SIDS,2015,27.0,366.0,688.0,1081.0
68,68,SIDS,2016,32.0,298.0,537.0,867.0
69,69,SIDS,2017,30.0,317.0,649.0,996.0
70,70,SIDS,2018,54.0,403.0,819.0,1276.0
71,71,SIDS,2019,65.0,636.0,1141.0,1842.0
72,72,SIDS,2020,106.0,789.0,1338.0,2233.0
73,73,SIDS,2021,303.0,1764.0,4819.0,6886.0
74,74,SIDS,2022,380.0,2802.0,5304.0,8486.0
75,75,South and Central America,2011,147.0,2172.0,9669.0,11988.0
76,76,South and Central America,2012,158.0,2958.0,13107.0,16223.0
77,77,South and Central America,2013,176.0,2969.0,16336.0,19481.0
78,78,South and Central America,2014,180.0,2624.0,12220.0,15024.0
79,79,South and Central America,2015,146.0,2559.0,13342.0,16047.0
80,80,South and Central America,2016,198.0,2678.0,12115.0,14991.0
81,81,South and Central America,2017,228.0,3301.0,14173.0,17702.0
82,82,South and Central America,2018,290.0,3160.0,15065.0,18515.0
83,83,South and Central America,2019,244.0,3416.0,15060.0,18720.0
84,84,South and Central America,2020,400.0,4421.0,14521.0,19342.0
85,85,South and Central America,2021,1290.0,9003.0,41920.0,52213.0
86,86,South and Central America,2022,1324.0,11703.0,34795.0,47822.0
