,SIDS,Year,intersection,climate,health,sum
12,SIDS,2011,18.0,228.0,545.0,791.0
13,SIDS,2012,27.0,423.0,839.0,1289.0
14,SIDS,2013,28.0,425.0,1038.0,1491.0
15,SIDS,2014,17.0,328.0,848.0,1193.0
16,SIDS,2015,18.0,362.0,609.0,989.0
17,SIDS,2016,31.0,296.0,569.0,896.0
18,SIDS,2017,29.0,297.0,681.0,1007.0
19,SIDS,2018,54.0,394.0,851.0,1299.0
20,SIDS,2019,68.0,682.0,1239.0,1989.0
21,SIDS,2020,109.0,779.0,1393.0,2281.0
22,SIDS,2021,301.0,1694.0,4756.0,6751.0
23,SIDS,2022,380.0,2725.0,5262.0,8367.0
24,Tier 1,2011,652.0,9672.0,20739.0,31063.0
25,Tier 1,2012,633.0,10931.0,24935.0,36499.0
26,Tier 1,2013,732.0,11182.0,25915.0,37829.0
27,Tier 1,2014,682.0,12185.0,29429.0,42296.0
28,Tier 1,2015,812.0,11884.0,30579.0,43275.0
29,Tier 1,2016,958.0,12959.0,31198.0,45115.0
30,Tier 1,2017,1112.0,13669.0,32309.0,47090.0
31,Tier 1,2018,1024.0,14098.0,35292.0,50414.0
32,Tier 1,2019,1339.0,18204.0,38650.0,58193.0
33,Tier 1,2020,1733.0,22787.0,42887.0,67407.0
34,Tier 1,2021,4975.0,42284.0,101792.0,149051.0
35,Tier 1,2022,6039.0,63065.0,104709.0,173813.0
36,Tier 2,2011,150.0,1887.0,4183.0,6220.0
37,Tier 2,2012,89.0,1916.0,5026.0,7031.0
38,Tier 2,2013,165.0,1910.0,5574.0,7649.0
39,Tier 2,2014,109.0,1768.0,4328.0,6205.0
40,Tier 2,2015,128.0,1902.0,5496.0,7526.0
41,Tier 2,2016,153.0,2402.0,5929.0,8484.0
42,Tier 2,2017,143.0,2253.0,5182.0,7578.0
43,Tier 2,2018,243.0,2441.0,5311.0,7995.0
44,Tier 2,2019,233.0,3330.0,6972.0,10535.0
45,Tier 2,2020,323.0,3315.0,6521.0,10159.0
46,Tier 2,2021,729.0,6555.0,15248.0,22532.0
47,Tier 2,2022,752.0,7478.0,14867.0,23097.0
