,Sector,intersection,climate,health
0,Alternative Energy,3.0,71.0,25.0
1,Automobiles & Parts,0.0,0.0,0.0
2,Banks,20.0,707.0,301.0
3,Beverages,10.0,123.0,149.0
4,Chemicals,0.0,0.0,9.0
5,Construction & Materials,13.0,243.0,528.0
6,Diversified,18.0,149.0,394.0
7,Electricity,43.0,337.0,307.0
8,Electronic & Electrical Equ...,0.0,5.0,4.0
9,Equity Investment Instruments,3.0,52.0,20.0
10,Financial Services,10.0,360.0,151.0
11,Food & Drug Retailers,59.0,811.0,970.0
12,Food Producers,12.0,167.0,305.0
13,Forestry & Paper,0.0,53.0,84.0
14,"Gas, Water & Multiutilities",117.0,1374.0,1412.0
15,General Industrials,54.0,584.0,790.0
16,General Retailers,2.0,102.0,126.0
17,Health Care Equipment & Ser...,75.0,104.0,520.0
18,Industrial Metals & Mining,16.0,200.0,305.0
19,Industrial Transportation,36.0,692.0,607.0
20,Media,2.0,44.0,45.0
21,Mining,142.0,2128.0,2186.0
22,Mobile Telecommunications,59.0,610.0,519.0
23,Nonlife Insurance,0.0,6.0,0.0
24,Not Applicable,9.0,139.0,71.0
25,Oil & Gas Producers,76.0,329.0,737.0
26,"Oil Equipment, Services & D...",4.0,183.0,20.0
27,Personal Goods,4.0,98.0,317.0
28,Real Estate Investment & Se...,22.0,612.0,668.0
29,Real Estate Investment Trusts,63.0,802.0,815.0
30,Software & Computer Services,0.0,11.0,34.0
31,Support Services,70.0,786.0,1064.0
32,Travel & Leisure,33.0,503.0,369.0
