,SIDS,Year,intersection,climate,health,sum
0,Tier 2,2011,25.0,408.0,459.0,892.0
1,Tier 2,2012,10.0,453.0,387.0,850.0
2,Tier 2,2013,30.0,326.0,372.0,728.0
3,Tier 2,2014,10.0,210.0,313.0,533.0
4,Tier 2,2015,20.0,273.0,475.0,768.0
5,Tier 2,2016,29.0,456.0,727.0,1212.0
6,Tier 2,2017,52.0,786.0,739.0,1577.0
7,Tier 2,2018,90.0,961.0,941.0,1992.0
8,Tier 2,2019,93.0,1602.0,1485.0,3180.0
9,Tier 2,2020,164.0,1499.0,2045.0,3708.0
10,Tier 2,2021,220.0,2501.0,3019.0,5740.0
11,Tier 2,2022,232.0,2910.0,2890.0,6032.0
