,Sector,intersection,climate,health
0,Banks,91.0,1121.0,1636.0
1,Beverages,21.0,144.0,333.0
2,Chemicals,0.0,0.0,42.0
3,Construction & Materials,36.0,314.0,852.0
4,Diversified,26.0,284.0,628.0
5,Electricity,32.0,940.0,665.0
6,Electronic & Electrical Equ...,7.0,177.0,260.0
7,Financial Services,9.0,483.0,713.0
8,Food Producers,0.0,33.0,57.0
9,Forestry & Paper,27.0,143.0,672.0
10,"Gas, Water & Multiutilities",0.0,201.0,74.0
11,General Industrials,39.0,357.0,502.0
12,General Retailers,2.0,3.0,18.0
13,Industrial Engineering,8.0,73.0,237.0
14,Industrial Metals & Mining,24.0,250.0,472.0
15,Industrial Transportation,35.0,686.0,823.0
16,Leisure Goods,0.0,5.0,126.0
17,Life Insurance,0.0,3.0,0.0
18,Media,0.0,0.0,16.0
19,Mobile Telecommunications,3.0,261.0,187.0
20,Nonlife Insurance,1.0,42.0,71.0
21,Oil & Gas Producers,35.0,349.0,438.0
22,Personal Goods,10.0,118.0,414.0
23,Pharmaceuticals & Biotechno...,38.0,81.0,757.0
24,Real Estate Investment & Se...,0.0,6.0,11.0
25,Software & Computer Services,9.0,103.0,108.0
26,Support Services,1.0,23.0,200.0
27,Technology Hardware & Equip...,0.0,3.0,6.0
28,Travel & Leisure,1.0,41.0,114.0
