,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,1.0,224.0,125.0,350.0
1,1,Europe,2012,0.0,107.0,126.0,233.0
2,2,Europe,2013,7.0,304.0,377.0,688.0
3,3,Europe,2014,3.0,205.0,298.0,506.0
4,4,Europe,2015,7.0,286.0,499.0,792.0
5,5,Europe,2016,4.0,172.0,293.0,469.0
6,6,Europe,2017,15.0,216.0,579.0,810.0
7,7,Europe,2018,16.0,434.0,814.0,1264.0
8,8,Europe,2019,27.0,475.0,812.0,1314.0
9,9,Europe,2020,59.0,688.0,1031.0,1778.0
10,10,Europe,2021,145.0,1261.0,2480.0,3886.0
11,11,Europe,2022,171.0,1872.0,2998.0,5041.0
