,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2012,3.0,54.0,128.0,185.0
1,Eastern Mediterranean,2013,0.0,8.0,18.0,26.0
2,Eastern Mediterranean,2014,6.0,69.0,166.0,241.0
3,Eastern Mediterranean,2015,0.0,32.0,34.0,66.0
4,Eastern Mediterranean,2016,0.0,4.0,55.0,59.0
5,Eastern Mediterranean,2017,0.0,3.0,58.0,61.0
6,Eastern Mediterranean,2018,1.0,22.0,63.0,86.0
7,Eastern Mediterranean,2019,3.0,46.0,98.0,147.0
8,Eastern Mediterranean,2020,3.0,5.0,87.0,95.0
9,Eastern Mediterranean,2021,0.0,0.0,20.0,20.0
10,Eastern Mediterranean,2022,0.0,0.0,47.0,47.0
