,Sector,intersection,health,climate
0,Chemicals,1.67,63.67,59.67
1,Construction & Materials,1.67,33.0,16.0
2,Diversified,1.25,21.75,16.0
3,Electricity,0.0,0.0,0.0
4,Financial Services,0.0,8.0,5.0
5,Fixed Line Telecommunications,0.0,12.0,10.0
6,Food Producers,2.0,8.5,8.5
7,Forestry & Paper,2.0,47.0,24.0
8,General Industrials,1.5,39.5,18.5
9,Industrial Engineering,0.0,6.0,1.0
10,Leisure Goods,1.33,13.33,15.33
11,Life Insurance,10.0,143.0,81.0
12,Media,0.0,6.0,1.0
13,Personal Goods,0.0,19.0,8.0
14,Pharmaceuticals & Biotechno...,14.0,382.0,37.0
15,Real Estate Investment & Se...,10.0,315.0,35.5
16,Real Estate Investment Trusts,17.0,58.0,84.0
17,Software & Computer Services,0.0,5.0,1.0
18,Support Services,3.0,43.75,18.5
