,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,10.5,4.0
1,Alternative Energy,0.1,11.1,2.7
2,Automobiles & Parts,0.0,94.0,34.0
3,Banks,7.4,38.6,46.1
4,Beverages,0.0,24.0,0.0
5,Chemicals,0.17,9.67,5.0
6,Construction & Materials,0.12,11.0,0.38
7,Diversified,0.54,13.78,4.07
8,Electricity,1.23,31.0,10.54
9,Electronic & Electrical Equ...,0.0,24.5,1.75
10,Equity Investment Instruments,0.5,13.0,12.5
11,Financial Services,0.2,19.8,8.7
12,Fixed Line Telecommunications,0.0,8.0,0.67
13,Food & Drug Retailers,0.33,52.33,1.67
14,Food Producers,1.37,30.84,12.84
15,Forestry & Paper,1.2,47.6,26.2
16,"Gas, Water & Multiutilities",0.12,26.12,2.75
17,General Industrials,0.44,18.06,5.88
18,General Retailers,0.57,26.14,19.86
19,Health Care Equipment & Ser...,4.7,88.1,7.0
20,Industrial Engineering,0.17,6.83,1.67
21,Industrial Metals & Mining,1.2,33.2,18.2
22,Industrial Transportation,0.92,14.62,9.0
23,Life Insurance,0.6,12.8,4.6
24,Media,0.29,3.14,0.43
25,Mobile Telecommunications,0.25,9.25,4.5
26,Nonlife Insurance,1.0,25.0,3.0
27,Oil & Gas Producers,0.0,31.5,13.0
28,"Oil Equipment, Services & D...",0.0,31.4,9.8
29,Personal Goods,3.5,49.0,36.5
30,Pharmaceuticals & Biotechno...,0.6,36.2,5.0
31,Real Estate Investment & Se...,0.4,46.6,14.6
32,Software & Computer Services,0.04,4.52,2.59
33,Support Services,0.34,19.16,4.47
34,Technology Hardware & Equip...,0.0,0.0,1.5
35,Travel & Leisure,0.2,18.0,10.0
