,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.56,0.85,0.13
1,2012,South and Central America,0.52,0.85,0.12
2,2013,South and Central America,0.48,0.86,0.12
3,2014,South and Central America,0.45,0.8,0.1
4,2015,South and Central America,0.47,0.81,0.09
5,2016,South and Central America,0.45,0.81,0.14
6,2017,South and Central America,0.55,0.86,0.1
7,2018,South and Central America,0.56,0.83,0.14
8,2019,South and Central America,0.48,0.84,0.17
9,2020,South and Central America,0.54,0.88,0.22
10,2021,South and Central America,0.56,0.82,0.24
11,2022,South and Central America,0.57,0.81,0.22
