,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,0.0,11.0,15.0,26.0
1,Very High,2012,1.0,25.0,46.0,72.0
2,Very High,2013,2.0,32.0,68.0,102.0
3,Very High,2014,2.0,16.0,64.0,82.0
4,Very High,2015,7.0,61.0,162.0,230.0
5,Very High,2016,2.0,7.0,46.0,55.0
6,Very High,2017,2.0,88.0,193.0,283.0
7,Very High,2018,3.0,76.0,202.0,281.0
8,Very High,2019,2.0,63.0,165.0,230.0
9,Very High,2020,4.0,49.0,178.0,231.0
10,Very High,2021,39.0,244.0,1099.0,1382.0
11,Very High,2022,16.0,182.0,511.0,709.0
