,WHO,Year,intersection,climate,health,sum
0,Americas,2011,10.0,78.0,109.0,197.0
1,Americas,2012,0.0,33.0,160.0,193.0
2,Americas,2013,2.0,53.0,341.0,396.0
3,Americas,2014,7.0,84.0,578.0,669.0
4,Americas,2015,17.0,48.0,515.0,580.0
5,Americas,2016,11.0,68.0,402.0,481.0
6,Americas,2017,24.0,133.0,652.0,809.0
7,Americas,2018,10.0,90.0,695.0,795.0
8,Americas,2019,7.0,121.0,775.0,903.0
9,Americas,2020,3.0,92.0,742.0,837.0
10,Americas,2021,51.0,316.0,2040.0,2407.0
11,Americas,2022,50.0,435.0,1794.0,2279.0
