,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.2,2022
1,Automobiles & Parts,0.5,1.0,0.5,2022
2,Banks,0.71,0.94,0.15,2022
3,Beverages,0.88,0.88,0.38,2022
4,Chemicals,0.4,1.0,0.0,2022
5,Construction & Materials,0.63,0.89,0.15,2022
6,Diversified,0.54,0.85,0.16,2022
7,Electricity,0.75,0.75,0.0,2022
8,Financial Services,0.46,0.94,0.03,2022
9,Fixed Line Telecommunications,0.5,0.83,0.0,2022
10,Food Producers,0.79,0.97,0.38,2022
11,"Gas, Water & Multiutilities",0.0,1.0,0.0,2022
12,General Industrials,0.6,0.8,0.0,2022
13,Health Care Equipment & Ser...,0.5,0.5,0.5,2022
14,Industrial Metals & Mining,1.0,1.0,0.67,2022
15,Industrial Transportation,0.09,0.73,0.0,2022
16,Life Insurance,0.0,1.0,0.0,2022
17,Media,0.25,0.75,0.0,2022
18,Mobile Telecommunications,0.5,0.5,0.25,2022
19,Nonlife Insurance,0.64,0.77,0.09,2022
20,Not Applicable,0.29,0.14,0.07,2022
21,Oil & Gas Producers,0.5,0.92,0.33,2022
22,"Oil Equipment, Services & D...",0.67,1.0,0.0,2022
23,Personal Goods,0.67,1.0,0.33,2022
24,Pharmaceuticals & Biotechno...,0.29,0.5,0.14,2022
25,Support Services,0.34,0.57,0.09,2022
26,Travel & Leisure,0.25,0.75,0.25,2022
