,Year,intersection,health,climate
0,2011,1.0,19.2,6.3
1,2012,0.42857142857142855,16.357142857142858,3.4285714285714284
2,2013,0.2222222222222222,10.11111111111111,2.7222222222222223
3,2014,0.0,5.866666666666666,1.0666666666666667
4,2015,0.13636363636363635,10.727272727272727,1.9090909090909092
5,2016,0.17391304347826086,11.173913043478262,2.0
6,2017,0.0,8.6,1.05
7,2018,0.25925925925925924,12.88888888888889,3.5925925925925926
8,2019,0.36363636363636365,17.40909090909091,4.0
9,2020,0.8,21.3,5.95
10,2021,0.7777777777777778,18.88888888888889,4.333333333333333
11,2022,1.5714285714285714,39.76190476190476,10.571428571428571
