,Year,intersection,health,climate
0,2011,0.0,40.0,6.0
1,2012,0.0,16.333333333333332,4.333333333333333
2,2013,0.0,19.0,5.2
3,2014,0.0,21.25,5.25
4,2015,0.25,28.0,8.75
5,2016,0.2857142857142857,19.571428571428573,5.714285714285714
6,2017,0.3333333333333333,15.166666666666666,4.166666666666667
7,2018,1.25,25.25,11.75
8,2019,1.3333333333333333,27.666666666666668,16.666666666666668
9,2020,0.0,3.0,0.3333333333333333
10,2021,0.5714285714285714,108.0,5.142857142857143
11,2022,0.0,10.714285714285714,0.8571428571428571
