,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2011,0.0,6.0,40.0,46.0,Health Care Equipment & Ser...
1,Europe,2012,0.0,13.0,49.0,62.0,Health Care Equipment & Ser...
2,Europe,2013,0.0,26.0,95.0,121.0,Health Care Equipment & Ser...
3,Europe,2014,0.0,21.0,85.0,106.0,Health Care Equipment & Ser...
4,Europe,2015,1.0,35.0,112.0,148.0,Health Care Equipment & Ser...
5,Europe,2016,2.0,40.0,137.0,179.0,Health Care Equipment & Ser...
6,Europe,2017,4.0,50.0,182.0,236.0,Health Care Equipment & Ser...
7,Europe,2018,5.0,47.0,101.0,153.0,Health Care Equipment & Ser...
8,Europe,2019,4.0,50.0,83.0,137.0,Health Care Equipment & Ser...
9,Europe,2020,0.0,1.0,9.0,10.0,Health Care Equipment & Ser...
10,Europe,2021,4.0,36.0,756.0,796.0,Health Care Equipment & Ser...
11,Europe,2022,0.0,6.0,75.0,81.0,Health Care Equipment & Ser...
