,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,82.0,963.0,1643.0,2688.0
1,1,Europe,2012,31.0,844.0,1523.0,2398.0
2,2,Europe,2013,48.0,1035.0,2551.0,3634.0
3,3,Europe,2014,29.0,1015.0,2129.0,3173.0
4,4,Europe,2015,45.0,1129.0,2812.0,3986.0
5,5,Europe,2016,117.0,1488.0,2875.0,4480.0
6,6,Europe,2017,148.0,1617.0,3567.0,5332.0
7,7,Europe,2018,169.0,1816.0,4039.0,6024.0
8,8,Europe,2019,111.0,1945.0,4179.0,6235.0
9,9,Europe,2020,151.0,2672.0,5191.0,8014.0
10,10,Europe,2021,367.0,4757.0,9867.0,14991.0
11,11,Europe,2022,447.0,6391.0,10404.0,17242.0
