,index,LC_grouping,Year,intersection,climate,health,sum
0,0,South and Central America,2012,0.0,34.0,20.0,54.0
1,1,South and Central America,2014,0.0,3.0,47.0,50.0
2,2,South and Central America,2015,0.0,3.0,64.0,67.0
3,3,South and Central America,2016,0.0,3.0,59.0,62.0
4,4,South and Central America,2017,2.0,80.0,92.0,174.0
5,5,South and Central America,2018,0.0,10.0,43.0,53.0
6,6,South and Central America,2019,1.0,29.0,142.0,172.0
7,7,South and Central America,2020,3.0,17.0,112.0,132.0
8,8,South and Central America,2021,16.0,133.0,289.0,438.0
9,9,South and Central America,2022,4.0,71.0,239.0,314.0
