,Sector,intersection,health,climate
0,Automobiles & Parts,0.0,23.0,11.0
1,Beverages,0.0,2.0,1.5
2,Chemicals,4.75,57.75,23.25
3,Diversified,0.0,2.0,1.5
4,Electricity,5.0,145.0,59.0
5,Electronic & Electrical Equ...,0.0,10.0,2.0
6,Financial Services,0.0,2.0,0.0
7,General Industrials,1.0,52.62,18.12
8,Household Goods & Home Cons...,0.0,5.0,2.5
9,Industrial Engineering,1.0,2.67,4.67
10,Industrial Metals & Mining,0.0,6.0,2.0
11,Media,0.0,6.0,1.0
12,Oil & Gas Producers,10.4,115.8,70.4
13,Personal Goods,0.0,4.0,0.0
14,Pharmaceuticals & Biotechno...,5.33,64.33,21.67
15,Software & Computer Services,1.29,15.43,6.86
16,Support Services,1.0,6.0,1.0
