,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,65.0,1823.0,3578.0,5466.0
1,1,Asia,2012,41.0,1879.0,3766.0,5686.0
2,2,Asia,2013,90.0,2123.0,5281.0,7494.0
3,3,Asia,2014,84.0,2314.0,5485.0,7883.0
4,4,Asia,2015,80.0,2054.0,5045.0,7179.0
5,5,Asia,2016,139.0,2435.0,5492.0,8066.0
6,6,Asia,2017,166.0,2858.0,6734.0,9758.0
7,7,Asia,2018,156.0,3304.0,8396.0,11856.0
8,8,Asia,2019,228.0,4746.0,9458.0,14432.0
9,9,Asia,2020,538.0,7308.0,13530.0,21376.0
10,10,Asia,2021,1018.0,13166.0,20832.0,35016.0
11,11,Asia,2022,1269.0,17355.0,24988.0,43612.0
