,Year,WHO,Climate,Health,Intersection
0,2011,Eastern Mediterranean,1.0,1.0,0.25
1,2012,Eastern Mediterranean,0.75,0.5,0.0
2,2013,Eastern Mediterranean,0.8,1.0,0.2
3,2014,Eastern Mediterranean,0.5,0.5,0.0
4,2015,Eastern Mediterranean,0.5,0.33,0.0
5,2016,Eastern Mediterranean,0.5,0.83,0.0
6,2017,Eastern Mediterranean,0.17,1.0,0.0
7,2018,Eastern Mediterranean,0.5,1.0,0.25
8,2019,Eastern Mediterranean,0.38,1.0,0.0
9,2020,Eastern Mediterranean,0.75,0.75,0.0
10,2021,Eastern Mediterranean,0.6,0.8,0.0
11,2022,Eastern Mediterranean,0.57,1.0,0.14
