,Sector,intersection,climate,health
0,Aerospace & Defense,0.0,0.0,25.0
1,Alternative Energy,0.0,21.0,1.0
2,Automobiles & Parts,0.0,0.0,4.0
3,Banks,25.0,347.0,602.0
4,Beverages,21.0,105.0,239.0
5,Chemicals,6.0,11.0,51.0
6,Construction & Materials,0.0,9.0,55.0
7,Diversified,8.0,31.0,329.0
8,Electricity,0.0,11.0,27.0
9,Electronic & Electrical Equ...,6.0,38.0,93.0
10,Financial Services,6.0,34.0,246.0
11,Fixed Line Telecommunications,6.0,47.0,70.0
12,Food Producers,17.0,137.0,878.0
13,Forestry & Paper,0.0,8.0,17.0
14,"Gas, Water & Multiutilities",0.0,2.0,0.0
15,General Industrials,0.0,3.0,66.0
16,General Retailers,0.0,0.0,2.0
17,Health Care Equipment & Ser...,70.0,67.0,1000.0
18,Household Goods & Home Cons...,0.0,0.0,25.0
19,Industrial Engineering,1.0,8.0,52.0
20,Industrial Metals & Mining,0.0,0.0,33.0
21,Industrial Transportation,1.0,2.0,53.0
22,Media,0.0,4.0,40.0
23,Mining,0.0,0.0,77.0
24,Mobile Telecommunications,12.0,102.0,627.0
25,Not Applicable,0.0,0.0,5.0
26,Pharmaceuticals & Biotechno...,0.0,10.0,46.0
27,Software & Computer Services,0.0,8.0,28.0
28,Support Services,7.0,24.0,431.0
29,Technology Hardware & Equip...,1.0,12.0,33.0
30,Travel & Leisure,2.0,19.0,53.0
