,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011,14.0,72.0,206.0,292.0
1,1,Africa,2012,9.0,70.0,358.0,437.0
2,2,Africa,2013,0.0,7.0,256.0,263.0
3,3,Africa,2014,45.0,66.0,414.0,525.0
4,4,Africa,2015,13.0,59.0,417.0,489.0
5,5,Africa,2016,3.0,31.0,261.0,295.0
6,6,Africa,2017,2.0,26.0,281.0,309.0
7,7,Africa,2018,2.0,51.0,361.0,414.0
8,8,Africa,2019,9.0,58.0,425.0,492.0
9,9,Africa,2020,6.0,51.0,218.0,275.0
10,10,Africa,2021,46.0,239.0,1225.0,1510.0
11,11,Africa,2022,40.0,330.0,786.0,1156.0
