,WHO,Year,intersection,climate,health,sum,Sector
0,Africa,2011,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
1,Africa,2012,1.0,3.0,116.0,120.0,Health Care Equipment & Ser...
2,Africa,2013,0.0,0.0,87.0,87.0,Health Care Equipment & Ser...
3,Africa,2014,44.0,24.0,180.0,248.0,Health Care Equipment & Ser...
4,Africa,2015,12.0,27.0,168.0,207.0,Health Care Equipment & Ser...
5,Africa,2016,2.0,2.0,41.0,45.0,Health Care Equipment & Ser...
6,Africa,2017,0.0,0.0,7.0,7.0,Health Care Equipment & Ser...
7,Africa,2018,0.0,0.0,81.0,81.0,Health Care Equipment & Ser...
8,Africa,2019,0.0,0.0,88.0,88.0,Health Care Equipment & Ser...
9,Africa,2020,0.0,0.0,14.0,14.0,Health Care Equipment & Ser...
10,Africa,2021,10.0,5.0,91.0,106.0,Health Care Equipment & Ser...
11,Africa,2022,1.0,5.0,78.0,84.0,Health Care Equipment & Ser...
