,Year,intersection,health,climate
0,2011,1.0746268656716418,24.104477611940297,33.223880597014926
1,2012,1.1222222222222222,27.22222222222222,31.644444444444446
2,2013,1.9875,28.1875,26.7875
3,2014,2.5,40.15625,30.875
4,2015,1.403225806451613,32.29032258064516,27.403225806451612
5,2016,1.4029850746268657,25.104477611940297,19.55223880597015
6,2017,1.7183098591549295,34.74647887323944,27.52112676056338
7,2018,1.0576923076923077,29.46153846153846,20.98076923076923
8,2019,2.7037037037037037,27.75925925925926,23.296296296296298
9,2020,3.0833333333333335,44.55555555555556,37.888888888888886
10,2021,4.191011235955056,49.12359550561798,44.06741573033708
11,2022,4.427083333333333,58.010416666666664,70.38541666666667
