,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2012,0.0,0.0,0.0,0.0
1,Eastern Mediterranean,2013,0.0,0.0,0.0,0.0
2,Eastern Mediterranean,2014,0.0,5.0,4.0,9.0
3,Eastern Mediterranean,2015,1.0,27.0,41.0,69.0
4,Eastern Mediterranean,2016,2.0,21.0,60.0,83.0
5,Eastern Mediterranean,2017,0.0,0.0,4.0,4.0
6,Eastern Mediterranean,2018,0.0,0.0,8.0,8.0
7,Eastern Mediterranean,2019,0.0,0.0,26.0,26.0
8,Eastern Mediterranean,2020,1.0,27.0,87.0,115.0
9,Eastern Mediterranean,2021,0.0,0.0,53.0,53.0
10,Eastern Mediterranean,2022,13.0,46.0,152.0,211.0
