,Sector,intersection,health,climate
0,Banks,0.5,18.75,3.75
1,Construction & Materials,0.0,11.33,1.0
2,Diversified,1.0,16.5,11.33
3,Financial Services,2.5,26.25,38.75
4,Food Producers,0.0,2.0,0.0
5,General Industrials,0.0,4.0,0.0
6,Industrial Engineering,0.0,9.0,0.0
7,Media,0.0,8.0,4.0
8,Mobile Telecommunications,1.0,21.0,4.0
9,Nonlife Insurance,0.0,1.0,0.0
10,Personal Goods,0.0,47.0,1.0
11,Real Estate Investment & Se...,0.0,6.0,8.0
12,Software & Computer Services,0.0,5.0,1.0
13,Support Services,0.0,4.25,1.75
14,Travel & Leisure,0.0,0.0,0.0
