,Sector,intersection,health,climate
0,Banks,0.0,3.0,26.0
1,Electronic & Electrical Equ...,0.0,6.0,0.0
2,Financial Services,4.0,32.0,65.0
3,General Retailers,1.0,30.0,4.0
4,Health Care Equipment & Ser...,3.0,15.0,14.0
5,Household Goods & Home Cons...,7.5,70.0,48.5
6,Industrial Engineering,14.0,82.5,36.0
7,Industrial Transportation,10.0,12.0,18.0
8,"Oil Equipment, Services & D...",12.0,109.0,61.0
9,Pharmaceuticals & Biotechno...,3.0,11.0,4.0
10,Real Estate Investment & Se...,3.0,51.0,14.0
11,Real Estate Investment Trusts,11.0,121.0,66.0
12,Support Services,4.0,63.5,67.0
