,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,0.75,0.75,2022
1,Banks,1.0,1.0,0.5,2022
2,Construction & Materials,0.73,1.0,0.27,2022
3,Electronic & Electrical Equ...,0.17,0.73,0.03,2022
4,Financial Services,1.0,1.0,1.0,2022
5,Forestry & Paper,1.0,0.0,0.0,2022
6,General Industrials,0.21,0.52,0.17,2022
7,General Retailers,0.67,0.67,0.33,2022
8,Health Care Equipment & Ser...,1.0,1.0,1.0,2022
9,Household Goods & Home Cons...,1.0,1.0,1.0,2022
10,Industrial Engineering,0.31,0.62,0.19,2022
11,Industrial Transportation,1.0,1.0,1.0,2022
12,Media,0.6,1.0,0.0,2022
13,Mobile Telecommunications,1.0,1.0,0.67,2022
14,Oil & Gas Producers,1.0,1.0,0.0,2022
15,"Oil Equipment, Services & D...",0.5,0.5,0.5,2022
16,Pharmaceuticals & Biotechno...,1.0,1.0,0.67,2022
17,Real Estate Investment & Se...,0.67,1.0,0.33,2022
18,Real Estate Investment Trusts,1.0,1.0,1.0,2022
19,Software & Computer Services,0.75,0.5,0.0,2022
20,Support Services,0.33,0.83,0.33,2022
21,Technology Hardware & Equip...,0.0,0.0,0.0,2022
