,WHO,Year,intersection,climate,health,sum,Sector
0,Americas,2013,0.0,1.0,18.0,19.0,Health Care Equipment & Ser...
1,Americas,2014,0.0,1.0,20.0,21.0,Health Care Equipment & Ser...
2,Americas,2015,0.0,11.0,58.0,69.0,Health Care Equipment & Ser...
3,Americas,2016,0.0,0.0,16.0,16.0,Health Care Equipment & Ser...
4,Americas,2017,0.0,0.0,28.0,28.0,Health Care Equipment & Ser...
5,Americas,2018,0.0,8.0,56.0,64.0,Health Care Equipment & Ser...
6,Americas,2019,4.0,2.0,27.0,33.0,Health Care Equipment & Ser...
7,Americas,2020,0.0,0.0,20.0,20.0,Health Care Equipment & Ser...
8,Americas,2021,2.0,7.0,118.0,127.0,Health Care Equipment & Ser...
9,Americas,2022,1.0,9.0,197.0,207.0,Health Care Equipment & Ser...
