,WHO,Year,intersection,climate,health,sum
0,South-East Asia,2012,0.0,0.0,2.0,2.0
1,South-East Asia,2013,0.0,7.0,43.0,50.0
2,South-East Asia,2014,0.0,12.0,66.0,78.0
3,South-East Asia,2015,5.0,32.0,89.0,126.0
4,South-East Asia,2016,8.0,41.0,147.0,196.0
5,South-East Asia,2017,18.0,49.0,282.0,349.0
6,South-East Asia,2018,13.0,49.0,304.0,366.0
7,South-East Asia,2019,5.0,29.0,226.0,260.0
8,South-East Asia,2020,11.0,48.0,223.0,282.0
9,South-East Asia,2021,26.0,47.0,440.0,513.0
10,South-East Asia,2022,19.0,52.0,231.0,302.0
