,WHO,Year,intersection,climate,health,sum
0,Europe,2011,23.0,441.0,763.0,1227.0
1,Europe,2012,63.0,463.0,1018.0,1544.0
2,Europe,2013,46.0,450.0,1266.0,1762.0
3,Europe,2014,49.0,541.0,1455.0,2045.0
4,Europe,2015,51.0,509.0,1137.0,1697.0
5,Europe,2016,68.0,526.0,1254.0,1848.0
6,Europe,2017,56.0,406.0,1186.0,1648.0
7,Europe,2018,60.0,448.0,1136.0,1644.0
8,Europe,2019,98.0,564.0,1651.0,2313.0
9,Europe,2020,82.0,472.0,1609.0,2163.0
10,Europe,2021,193.0,1249.0,3288.0,4730.0
11,Europe,2022,316.0,2462.0,4051.0,6829.0
