,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011,0.0,1.0,40.0,41.0
1,Western Pacific,2012,0.0,4.0,14.0,18.0
2,Western Pacific,2013,0.0,5.0,11.0,16.0
3,Western Pacific,2014,0.0,6.0,12.0,18.0
4,Western Pacific,2015,0.0,4.0,15.0,19.0
5,Western Pacific,2016,1.0,9.0,50.0,60.0
6,Western Pacific,2017,0.0,86.0,102.0,188.0
7,Western Pacific,2018,0.0,4.0,12.0,16.0
8,Western Pacific,2019,0.0,5.0,13.0,18.0
9,Western Pacific,2020,0.0,9.0,14.0,23.0
10,Western Pacific,2021,0.0,4.0,20.0,24.0
11,Western Pacific,2022,0.0,8.0,16.0,24.0
