,Sector,intersection,health,climate
0,Aerospace & Defense,2.0,38.0,6.5
1,Alternative Energy,0.0,6.0,9.0
2,Automobiles & Parts,0.0,0.0,1.0
3,Banks,1.0,17.5,21.75
4,Beverages,12.0,54.0,112.0
5,Construction & Materials,1.0,15.2,30.4
6,Diversified,3.0,13.33,23.42
7,Electricity,4.4,33.8,59.0
8,Electronic & Electrical Equ...,1.5,13.0,10.5
9,Equity Investment Instruments,3.0,36.0,85.0
10,Financial Services,1.17,22.67,7.33
11,Food Producers,1.25,45.0,15.25
12,Forestry & Paper,0.0,3.0,1.0
13,General Industrials,2.25,24.5,15.75
14,Health Care Equipment & Ser...,0.0,10.5,1.5
15,Industrial Engineering,1.67,9.0,5.33
16,Industrial Transportation,3.33,37.83,29.17
17,Leisure Goods,0.0,0.0,0.0
18,Media,2.0,74.0,25.0
19,Nonlife Insurance,0.0,6.0,2.0
20,"Oil Equipment, Services & D...",2.0,17.14,18.14
21,Pharmaceuticals & Biotechno...,0.0,37.0,1.0
22,Real Estate Investment & Se...,0.0,30.0,11.0
23,Software & Computer Services,0.75,7.25,17.5
24,Support Services,1.25,11.5,12.25
25,Technology Hardware & Equip...,1.86,25.86,31.0
26,Travel & Leisure,6.0,102.0,82.0
