,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,1.0,10.0,118.0,129.0
1,Eastern Mediterranean,2012,6.0,47.0,292.0,345.0
2,Eastern Mediterranean,2013,11.0,23.0,179.0,213.0
3,Eastern Mediterranean,2014,5.0,24.0,177.0,206.0
4,Eastern Mediterranean,2015,2.0,24.0,172.0,198.0
5,Eastern Mediterranean,2016,10.0,27.0,204.0,241.0
6,Eastern Mediterranean,2017,11.0,23.0,187.0,221.0
7,Eastern Mediterranean,2018,7.0,49.0,351.0,407.0
8,Eastern Mediterranean,2019,9.0,58.0,249.0,316.0
9,Eastern Mediterranean,2020,10.0,66.0,249.0,325.0
10,Eastern Mediterranean,2021,12.0,88.0,421.0,521.0
11,Eastern Mediterranean,2022,25.0,212.0,623.0,860.0
