,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.0,0.0,0.0,2022
1,Automobiles & Parts,0.68,0.97,0.29,2022
2,Banks,0.0,0.33,0.0,2022
3,Chemicals,1.0,1.0,0.67,2022
4,Construction & Materials,0.61,1.0,0.13,2022
5,Diversified,0.67,1.0,0.17,2022
6,Electricity,1.0,1.0,1.0,2022
7,Food Producers,1.0,0.86,0.57,2022
8,Forestry & Paper,0.0,1.0,0.0,2022
9,General Industrials,0.5,0.67,0.08,2022
10,Industrial Engineering,1.0,1.0,0.25,2022
11,Industrial Transportation,0.5,0.5,0.0,2022
12,Media,0.0,1.0,0.0,2022
13,Mobile Telecommunications,1.0,1.0,0.0,2022
14,Not Applicable,0.0,1.0,0.0,2022
15,Oil & Gas Producers,0.63,1.0,0.31,2022
16,"Oil Equipment, Services & D...",0.73,1.0,0.27,2022
17,Personal Goods,0.78,0.78,0.33,2022
18,Pharmaceuticals & Biotechno...,1.0,1.0,0.0,2022
19,Support Services,0.67,1.0,0.0,2022
20,Travel & Leisure,0.5,0.5,0.0,2022
