,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.0,2022
1,Beverages,1.0,1.0,0.25,2022
2,Chemicals,0.0,1.0,0.0,2022
3,Construction & Materials,0.0,1.0,0.0,2022
4,Diversified,0.4,0.83,0.17,2022
5,Electricity,0.75,0.93,0.29,2022
6,Financial Services,0.14,0.86,0.0,2022
7,Fixed Line Telecommunications,0.45,0.73,0.0,2022
8,Food Producers,0.4,0.8,0.0,2022
9,General Industrials,0.5,0.5,0.33,2022
10,General Retailers,0.4,0.85,0.05,2022
11,Health Care Equipment & Ser...,0.27,0.82,0.09,2022
12,Industrial Transportation,0.89,1.0,0.22,2022
13,Leisure Goods,0.5,0.5,0.0,2022
14,Media,0.1,0.7,0.0,2022
15,Mobile Telecommunications,1.0,0.8,0.2,2022
16,Oil & Gas Producers,0.2,0.6,0.0,2022
17,Pharmaceuticals & Biotechno...,0.0,1.0,0.0,2022
18,Real Estate Investment & Se...,0.75,0.94,0.06,2022
19,Software & Computer Services,0.14,1.0,0.0,2022
20,Support Services,0.47,0.86,0.04,2022
