,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.31,0.94,0.06
1,2012,South and Central America,0.41,0.82,0.03
2,2013,South and Central America,0.33,0.83,0.08
3,2014,South and Central America,0.55,0.79,0.06
4,2015,South and Central America,0.55,0.94,0.03
5,2016,South and Central America,0.5,0.79,0.25
6,2017,South and Central America,0.38,0.9,0.14
7,2018,South and Central America,0.47,0.83,0.13
8,2019,South and Central America,0.43,0.83,0.03
9,2020,South and Central America,0.63,0.89,0.0
10,2021,South and Central America,0.57,0.83,0.35
11,2022,South and Central America,0.6,0.84,0.36
