,Sector,intersection,climate,health
0,Chemicals,0.0,2.0,28.0
1,Diversified,77.0,591.0,1818.0
2,Electricity,3.0,108.0,93.0
3,Electronic & Electrical Equ...,0.0,0.0,7.0
4,Financial Services,7.0,78.0,278.0
5,Fixed Line Telecommunications,0.0,69.0,95.0
6,General Industrials,4.0,6.0,46.0
7,General Retailers,0.0,18.0,26.0
8,Health Care Equipment & Ser...,28.0,26.0,199.0
9,Industrial Engineering,0.0,0.0,0.0
10,Industrial Metals & Mining,0.0,0.0,8.0
11,Media,1.0,11.0,75.0
12,Mining,3.0,12.0,133.0
13,Mobile Telecommunications,19.0,342.0,694.0
14,Personal Goods,1.0,1.0,136.0
15,Software & Computer Services,3.0,10.0,41.0
16,Support Services,0.0,0.0,9.0
