,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,7.0,173.0,259.0,439.0
1,Very High,2012,7.0,161.0,282.0,450.0
2,Very High,2013,9.0,242.0,343.0,594.0
3,Very High,2014,14.0,257.0,624.0,895.0
4,Very High,2015,8.0,135.0,244.0,387.0
5,Very High,2016,2.0,62.0,220.0,284.0
6,Very High,2017,2.0,80.0,240.0,322.0
7,Very High,2018,2.0,81.0,217.0,300.0
8,Very High,2019,4.0,58.0,143.0,205.0
9,Very High,2020,3.0,144.0,273.0,420.0
10,Very High,2021,23.0,235.0,726.0,984.0
11,Very High,2022,23.0,421.0,719.0,1163.0
