,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011,18.0,217.0,407.0,642.0
1,Western Pacific,2012,15.0,306.0,389.0,710.0
2,Western Pacific,2013,15.0,255.0,515.0,785.0
3,Western Pacific,2014,10.0,205.0,306.0,521.0
4,Western Pacific,2015,17.0,244.0,372.0,633.0
5,Western Pacific,2016,29.0,193.0,220.0,442.0
6,Western Pacific,2017,11.0,216.0,414.0,641.0
7,Western Pacific,2018,51.0,331.0,659.0,1041.0
8,Western Pacific,2019,57.0,583.0,906.0,1546.0
9,Western Pacific,2020,100.0,710.0,1111.0,1921.0
10,Western Pacific,2021,239.0,1459.0,3646.0,5344.0
11,Western Pacific,2022,330.0,2466.0,4441.0,7237.0
