,Sector,intersection,health,climate
0,Aerospace & Defense,8.0,167.0,78.5
1,Alternative Energy,7.5,58.75,49.75
2,Automobiles & Parts,4.0,39.0,11.0
3,Chemicals,0.0,8.0,9.0
4,Construction & Materials,0.0,0.0,0.0
5,Diversified,20.2,268.8,107.2
6,Electronic & Electrical Equ...,0.0,0.67,0.67
7,Equity Investment Instruments,2.0,36.0,6.0
8,Financial Services,0.0,6.0,0.0
9,Food Producers,4.2,139.8,42.4
10,"Gas, Water & Multiutilities",10.0,49.0,25.0
11,General Industrials,3.0,46.86,45.0
12,Industrial Engineering,0.0,0.0,6.0
13,Industrial Transportation,8.33,65.67,50.67
14,Life Insurance,30.0,111.0,77.0
15,Media,0.0,2.0,0.0
16,Mobile Telecommunications,6.0,84.0,58.0
17,Pharmaceuticals & Biotechno...,19.0,314.0,60.0
18,Real Estate Investment & Se...,5.6,85.4,102.6
19,Software & Computer Services,0.0,4.0,9.0
20,Support Services,0.0,13.6,6.0
21,Travel & Leisure,4.25,38.5,22.25
