,index,LC_grouping,Year,intersection,climate,health,sum
0,0,SIDS,2011,18.0,217.0,407.0,642.0
1,1,SIDS,2012,15.0,306.0,389.0,710.0
2,2,SIDS,2013,15.0,255.0,515.0,785.0
3,3,SIDS,2014,10.0,205.0,306.0,521.0
4,4,SIDS,2015,17.0,244.0,372.0,633.0
5,5,SIDS,2016,29.0,193.0,220.0,442.0
6,6,SIDS,2017,11.0,216.0,414.0,641.0
7,7,SIDS,2018,51.0,331.0,659.0,1041.0
8,8,SIDS,2019,57.0,583.0,906.0,1546.0
9,9,SIDS,2020,100.0,710.0,1111.0,1921.0
10,10,SIDS,2021,239.0,1459.0,3646.0,5344.0
11,11,SIDS,2022,330.0,2466.0,4441.0,7237.0
