,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011,40.0,314.0,462.0,816.0
1,1,Africa,2012,7.0,109.0,361.0,477.0
2,2,Africa,2013,36.0,372.0,1019.0,1427.0
3,3,Africa,2014,27.0,431.0,912.0,1370.0
4,4,Africa,2015,29.0,550.0,1269.0,1848.0
5,5,Africa,2016,33.0,555.0,1300.0,1888.0
6,6,Africa,2017,39.0,375.0,924.0,1338.0
7,7,Africa,2018,11.0,193.0,432.0,636.0
8,8,Africa,2019,32.0,316.0,597.0,945.0
9,9,Africa,2020,19.0,328.0,485.0,832.0
10,10,Africa,2021,78.0,740.0,867.0,1685.0
11,11,Africa,2022,33.0,492.0,531.0,1056.0
