,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.0,2022
1,Beverages,0.57,0.4,0.17,2022
2,Chemicals,0.89,1.0,0.11,2022
3,Construction & Materials,0.87,0.87,0.4,2022
4,Diversified,0.9,0.88,0.38,2022
5,Financial Services,1.0,0.67,0.22,2022
6,Food Producers,1.0,1.0,0.59,2022
7,General Industrials,0.59,0.89,0.19,2022
8,Health Care Equipment & Ser...,0.0,0.75,0.0,2022
9,Industrial Transportation,1.0,0.67,0.67,2022
10,Mobile Telecommunications,1.0,1.0,0.0,2022
11,Not Applicable,1.0,1.0,0.0,2022
12,Oil & Gas Producers,1.0,1.0,0.62,2022
13,Personal Goods,1.0,0.95,0.5,2022
14,Software & Computer Services,0.0,1.0,0.0,2022
15,Support Services,0.09,0.73,0.09,2022
16,Technology Hardware & Equip...,0.0,1.0,0.0,2022
17,Travel & Leisure,0.5,0.5,0.0,2022
