,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2013,0.0,0.0,52.0,52.0
1,Eastern Mediterranean,2014,0.0,1.0,5.0,6.0
2,Eastern Mediterranean,2015,0.0,4.0,17.0,21.0
3,Eastern Mediterranean,2016,0.0,2.0,4.0,6.0
4,Eastern Mediterranean,2017,0.0,0.0,1.0,1.0
5,Eastern Mediterranean,2018,1.0,26.0,53.0,80.0
6,Eastern Mediterranean,2019,0.0,14.0,10.0,24.0
7,Eastern Mediterranean,2020,0.0,43.0,23.0,66.0
8,Eastern Mediterranean,2021,0.0,11.0,58.0,69.0
9,Eastern Mediterranean,2022,0.0,3.0,25.0,28.0
