,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,2.0,46.0,145.0,193.0
1,1,Asia,2012,9.0,189.0,204.0,402.0
2,2,Asia,2013,7.0,251.0,288.0,546.0
3,3,Asia,2014,7.0,134.0,247.0,388.0
4,4,Asia,2015,10.0,210.0,261.0,481.0
5,5,Asia,2016,18.0,376.0,391.0,785.0
6,6,Asia,2017,34.0,175.0,402.0,611.0
7,7,Asia,2018,16.0,217.0,367.0,600.0
8,8,Asia,2019,32.0,241.0,337.0,610.0
9,9,Asia,2020,45.0,278.0,484.0,807.0
10,10,Asia,2021,105.0,805.0,1372.0,2282.0
11,11,Asia,2022,85.0,1119.0,884.0,2088.0
