,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,0.0,0.0,24.0,24.0
1,Eastern Mediterranean,2012,0.0,0.0,33.0,33.0
2,Eastern Mediterranean,2013,0.0,1.0,38.0,39.0
3,Eastern Mediterranean,2014,0.0,11.0,22.0,33.0
4,Eastern Mediterranean,2015,1.0,17.0,72.0,90.0
5,Eastern Mediterranean,2016,2.0,13.0,55.0,70.0
6,Eastern Mediterranean,2017,0.0,9.0,57.0,66.0
7,Eastern Mediterranean,2018,1.0,13.0,61.0,75.0
8,Eastern Mediterranean,2019,1.0,22.0,121.0,144.0
9,Eastern Mediterranean,2020,2.0,9.0,128.0,139.0
10,Eastern Mediterranean,2021,6.0,30.0,145.0,181.0
11,Eastern Mediterranean,2022,4.0,46.0,197.0,247.0
