,Sector,intersection,health,climate
0,Alternative Energy,0.0,5.0,2.0
1,Automobiles & Parts,1.0,5.5,1.5
2,Banks,0.0,8.0,13.0
3,Chemicals,0.0,6.5,0.0
4,Construction & Materials,2.0,12.0,2.0
5,Equity Investment Instruments,0.0,4.0,0.0
6,Financial Services,0.0,12.0,3.0
7,Food Producers,0.0,34.0,11.0
8,"Gas, Water & Multiutilities",0.0,10.0,1.0
9,General Industrials,0.0,18.0,3.0
10,Mining,0.0,16.0,2.0
11,Oil & Gas Producers,0.0,35.0,5.0
12,Pharmaceuticals & Biotechno...,0.0,10.0,1.0
13,Software & Computer Services,0.0,4.5,0.0
